followers_count,friends_count,Bot_or_Not
1589,4,1
860,880,0
172,594,0
517,633,0
753678,116,0
27394,542,1
291529,1581,0
6909959,40,0
24,0,0
2130,3363,0
32,0,0
26675,26,1
262121,643,0
1950090,1574,0
252142,562,0
5281,581,0
0,0,0
0,0,0
2365,296,0
6,33,1
37278,455,0
4,0,1
7383658,3016,0
9179,1275,0
163616,115,0
585,900,0
3745,2,1
137,140,0
249184,984,0
5362,355,0
704,598,0
64,156,1
3,0,1
267,246,0
108660,1247,0
387,328,0
276,509,0
157466,1031,0
12,11,1
30999003,1748,1
1300,1137,0
184,436,0
338,743,0
93,233,0
108,0,1
1285743,850,0
1541148,628,0
25,851,1
101576,286,0
317,413,1
164313,5577,0
916,0,1
179268,867,0
23,267,1
61,28,1
1437950,935,1
197,7,1
205,702,0
2,0,1
1491,158,0
65,114,0
7235,3115,0
16,0,1
24,57,1
13,106,0
18,0,1
13281,1858,0
21046,3025,0
7,27,1
4476,568,1
1064,172,1
31,4,1
13,392,1
84574,2843,0
47,166,1
1,0,1
21,46,1
56,25,0
68745,0,0
13893,1506,0
110,1112,0
1077,2043,0
356,4412,1
4254877,2668,0
103334,576,0
171,1049,0
680345,183,0
25,45,1
26,131,0
407,186,1
4201705,885,0
446,807,0
113181,297,0
33334,385,0
4577055,1,0
2015401,14905,1
223,624,1
492,856,0
1662199,924,0
3,0,1
168610,85,0
152,659,0
56,0,0
1151962,2597,0
73307,2850,0
96,267,0
731524,302,0
8,265,1
7,330,1
792,290,0
306,446,0
27613,104,0
71,312,0
6,43,1
28,40,1
43,0,1
49,87,1
173010,344,0
96,145,0
16,12,1
271,346,0
310,420,0
210561,6801,0
1835,2570,0
121,101,0
6154982,334,0
31,85,0
24,81,0
0,0,1
1672,389,0
31,142,0
512,355,0
57038,613,0
96,383,0
1032551,0,0
40,592,1
1630092,4946,1
272796,95,1
18,0,0
384,226,0
29739,545,0
1318800,20,0
48,104,0
3508,150,0
620,870,0
1599,544,0
1,497,0
143,381,0
18136,3,0
3,44,1
1595,1249,0
20126,264,0
2605,628,0
426,583,0
79,31,1
20,135,1
13,0,1
606,106,0
74,40,0
279,459,0
221,121,0
8,0,1
3652,1131,0
311,323,1
32,168,1
5,0,1
2,42,1
23,69,1
